debut_year,name,alias,from,fighting_out_of,height,weight,wins,loss,draw,notes
1999,Ricardo Morais,The Mutant,"Rio De Janeiro, Brazil","Rio De Janeiro, Brazil",80,277,1,2,0
1999,Soichi Nishida,Barbarian Nishi,"Saitama, Japan","Saitama, Japan",68,316,0,2,2
1999,Tom Erikson, The Big Cat,"Chicago, Illinois","Chicago, Illinois",76,280,3,2,0
1999,Tully Kulihaapai,,Tonga,Tonga,74,248,0,1,0
1999,Vitor Belfort,The Phenom,"Rio De Janeiro, Brazil","Rio De Janeiro, Brazil",72,185,5,3,0
1999,Wanderlei Silva,The Axe Murderer,"Curitiba, Brazil","Curitiba, Brazil",71,199,22,4,2
2000,Dan Henderson,Hendo,"Downey, California","Temecula, California",71,185,13,5,0
2000,Gilbert Yvel,The Hurricane,"Amsterdam, Netherlands","Amsterdam, Netherlands",74,275,2,7,1
2000,Hans Nijman,,"Alkmaar, Netherlands","Limburg, Netherlands",72,246,0,1,0
2000,Heath Herring,The Texas Crazy Horse,"Waco, Texas","Las Vegas, Nevada",76,261,12,5,0
2000,Herman Renting,,"Amsterdam, Netherlands","Amsterdam, Netherlands",72,215,0,1,0
2000,Igor Borisov,,Russia,Russia,69,215,0,1,0
2000,Johil de Oliveira,Fire Samurai,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",66,172,0,3,0
2000,John Marsh,The Bull,"Torrance, California,","Torrance, California,",72,223,0,1,0
2000,John Renken,The Saint,"Peoria, Illinois","Peoria, Illinois",70,182,0,1,0
2000,Kazuyuki Fujita,Ol' Ironhead,"Chiba, Japan","Chiba, Japan",72,243,7,4,0
2000,Ken Shamrock,The World's Most Dangerous Man,"Macon, Georgia","Reno, Nevada",73,210,7,6,2
2000,Masaaki Satake,,"Osaka, Japan","Osaka, Japan",71,234,1,7,0
2000,Mike Bourke,The Rhino,"La Habra, California","La Habra, California",72,265,0,1,0
2000,Osamu Kawahara,Tachihikari,Japan,Japan,77,297,0,1,0
2000,Ricardo Almeida,Big Dog,"New York City, New York","Robinsville, New Jersey",72,170,2,0,0
2000,Ricco Rodriguez,Suave,"San Jose, California","Staten Island, New York",76,240,3,1,0 
