name,division,event_title_won,event_title_loss,num_defenses,
Fedor Emelianenko,Heavyweight(209.5 lbs - Unlimited),31,,3
Dan Henderson,Welterweight(154.4 lbs - 176.4 lbs),56,,0
Takanori Gomi,Lightweight(154.3 lbs),56,,1
Wanderlei Silva,Middleweight(176.5 lbs - 209.4 lbs),56,67,0
Dan Henderson,Middleweight(176.5 lbs - 209.4 lbs),67,,0
