year,division,champion,runner_up,final_eventid,semis_eventid,quarter_eventid,opening_eventid
2000,Openweight,Mark Coleman,Igor Vovchanchyn,10,10,10,9
2003,Middleweight,Wanderlei Silva,Quinton "Rampage" Jackson,35,35,33,
2004,Heavyweight,Fedor Emelianenko,Antônio Rodrigo Nogueira,46,43,41,39
2005,Middleweight,Mauricio Rua,Ricardo Arona,53,53,51,49
2005,Welterweight,Dan Henderson,Murilo Bustamante,56,54,54,
2005,Lightweight,Takanori Gomi,Hayato Sakurai,56,54,54,
2006,Openweight,Mirko Filipovic,Josh Barnett,63,63,61,59
2006,Welterweight,Kazuo Misaki,Canada Denis Kang,65,65,62,60
